Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience,Date
Jija,Abstract,Realism,Watercolor,"30""x40""",No,Montreal,290,8,Standard,Cool Tones,Copy,Print,Bedroom,Reflective,Bright Light,Screen Print,Corporate Clients,2020-05-27
Noah,Portrait,Modern,Charcoal,"30""x40""",Yes,Montreal,956,9,Standard,Oceanic Tones,Original,Print,Bedroom,Calming,Dim Light,Screen Print,Corporate Clients,2020-05-28
Vincent,Seascape,Surrealism,Oil,"20""x30""",No,New York,528,4,Standard,Cool Tones,Original,Print,Gallery,Calming,Bright Light,Lithograph,Interior Designers,2020-05-29
Noah,Abstract,Realism,Oil,"18""x24""",Yes,Los Angeles,918,8,Free Shipping,Neutral Tones,Copy,Real,Office,Reflective,Bright Light,Giclée,Families,2020-05-30
Noah,Landscape,Surrealism,Watercolor,"30""x40""",No,Los Angeles,918,8,Free Shipping,Warm Tones,Copy,Real,Bedroom,Joyful,Bright Light,Screen Print,Art Collectors,2020-05-31
Claude,Still Life,Abstract Expressionism,Mixed Media,"18""x24""",No,Toronto,680,3,Free Shipping,Oceanic Tones,Copy,Real,Bedroom,Relaxing,Natural Light,Giclée,Families,2020-06-01
Frida,Still Life,Cubism,Acrylic,"20""x30""",No,Toronto,853,9,Free Shipping,Oceanic Tones,Original,Real,Bedroom,Reflective,Bright Light,,Young Professionals,2020-06-02
Frida,Abstract,Cubism,Mixed Media,"18""x24""",Yes,Calgary,663,4,Standard,Warm Tones,Original,Print,Office,Reflective,Bright Light,Giclée,Families,2020-06-03
Noah,Fantasy,Cubism,Acrylic,"16""x20""",Yes,Montreal,683,4,Free Shipping,Earthy Tones,Copy,Print,Kid Room,Reflective,Bright Light,,Young Professionals,2020-06-04
Claude,Wildlife,Abstract Expressionism,Watercolor,"24""x36""",No,Miami,975,10,Standard,Oceanic Tones,Copy,Real,Bedroom,Relaxing,Natural Light,Lithograph,Interior Designers,2020-06-05
Leonardo,Abstract,Surrealism,Oil,"20""x30""",Yes,Montreal,704,4,Express,Cool Tones,Copy,Print,Kid Room,Energetic,Dim Light,Screen Print,Interior Designers,2020-06-06
Pablo,Landscape,Cubism,Oil,"20""x30""",No,Miami,404,8,Standard,Cool Tones,Copy,Real,Kid Room,Relaxing,Dim Light,Screen Print,Young Professionals,2020-06-07
Noah,Seascape,Cubism,Watercolor,"16""x20""",No,Miami,179,9,Standard,Neutral Tones,Original,Real,Kid Room,Energetic,Bright Light,Fine Art Print,Families,2020-06-08
Claude,Seascape,Cubism,Charcoal,"30""x40""",No,Toronto,396,6,Free Shipping,Earthy Tones,Copy,Print,Gallery,Reflective,Bright Light,Giclée,Corporate Clients,2020-06-09
Pablo,Portrait,Realism,Charcoal,"16""x20""",Yes,Los Angeles,704,4,Free Shipping,Oceanic Tones,Copy,Real,Kid Room,Calming,Bright Light,,Art Collectors,2020-06-10
Noah,Abstract,Modern,Charcoal,"24""x36""",No,Miami,840,9,Standard,Warm Tones,Original,Real,Gallery,Reflective,Bright Light,Giclée,Interior Designers,2020-06-11
Frida,Portrait,Modern,Acrylic,"18""x24""",No,Chicago,368,7,Express,Warm Tones,Original,Real,Kid Room,Joyful,Bright Light,,Interior Designers,2020-06-12
Jija,Fantasy,Realism,Watercolor,"24""x36""",Yes,Montreal,294,4,Standard,Neutral Tones,Copy,Print,Office,Calming,Natural Light,Lithograph,Corporate Clients,2020-06-13
Claude,Seascape,Modern,Acrylic,"16""x20""",Yes,Chicago,719,4,Free Shipping,Earthy Tones,Original,Real,Gallery,Reflective,Natural Light,Lithograph,Interior Designers,2020-06-14
Pablo,Abstract,Impressionism,Watercolor,"18""x24""",Yes,Chicago,879,8,Standard,Neutral Tones,Original,Real,Office,Relaxing,Natural Light,Lithograph,Interior Designers,2020-06-15
Olivia,Portrait,Modern,Mixed Media,"30""x40""",Yes,Los Angeles,707,8,Express,Warm Tones,Copy,Real,Office,Relaxing,Bright Light,Screen Print,Corporate Clients,2020-06-16
Frida,Fantasy,Surrealism,Watercolor,"18""x24""",No,New York,731,4,Express,Earthy Tones,Copy,Real,Bedroom,Reflective,Natural Light,,Young Professionals,2020-06-17
Pablo,Fantasy,Modern,Charcoal,"24""x36""",Yes,Vancouver,344,4,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Natural Light,Lithograph,Corporate Clients,2020-06-18
Leonardo,Fantasy,Impressionism,Watercolor,"18""x24""",Yes,Los Angeles,344,9,Express,Cool Tones,Original,Real,Bedroom,Joyful,Dim Light,Lithograph,Art Collectors,2020-06-19
Liam,Wildlife,Surrealism,Charcoal,"24""x36""",No,New York,231,8,Express,Earthy Tones,Original,Print,Gallery,Calming,Natural Light,Giclée,Young Professionals,2020-06-20
Liam,Abstract,Cubism,Charcoal,"20""x30""",Yes,Toronto,157,4,Express,Warm Tones,Copy,Print,Kid Room,Joyful,Natural Light,Screen Print,Corporate Clients,2020-06-21
Emma,Seascape,Cubism,Mixed Media,"16""x20""",Yes,Toronto,404,10,Standard,Cool Tones,Original,Print,Living Room,Relaxing,Dim Light,,Families,2020-06-22
Claude,Abstract,Impressionism,Charcoal,"16""x20""",No,New York,680,7,Express,Neutral Tones,Original,Print,Bedroom,Energetic,Natural Light,Lithograph,Interior Designers,2020-06-23
Claude,Landscape,Cubism,Mixed Media,"18""x24""",No,Vancouver,539,3,Express,Earthy Tones,Original,Print,Living Room,Energetic,Bright Light,Screen Print,Art Collectors,2020-06-24
Vincent,Abstract,Modern,Watercolor,"24""x36""",Yes,Toronto,149,3,Free Shipping,Oceanic Tones,Original,Real,Kid Room,Joyful,Dim Light,,Art Collectors,2020-06-25
Vincent,Landscape,Surrealism,Acrylic,"24""x36""",Yes,Chicago,785,6,Free Shipping,Warm Tones,Copy,Print,Gallery,Reflective,Dim Light,Giclée,Art Collectors,2020-06-26
Olivia,Landscape,Surrealism,Mixed Media,"16""x20""",Yes,Los Angeles,368,8,Free Shipping,Cool Tones,Copy,Real,Kid Room,Calming,Dim Light,Lithograph,Art Collectors,2020-06-27
Jija,Abstract,Realism,Watercolor,"20""x30""",Yes,Montreal,663,3,Free Shipping,Oceanic Tones,Original,Print,Living Room,Joyful,Dim Light,Giclée,Interior Designers,2020-06-28
Vincent,Seascape,Surrealism,Charcoal,"18""x24""",No,Los Angeles,868,8,Express,Earthy Tones,Copy,Print,Bedroom,Calming,Dim Light,Screen Print,Art Collectors,2020-06-29
Leonardo,Seascape,Abstract Expressionism,Acrylic,"30""x40""",Yes,Toronto,771,8,Express,Earthy Tones,Original,Real,Kid Room,Reflective,Dim Light,Lithograph,Interior Designers,2020-06-30
Liam,Landscape,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Vancouver,459,6,Standard,Neutral Tones,Original,Print,Gallery,Relaxing,Natural Light,,Art Collectors,2020-07-01
Liam,Wildlife,Surrealism,Acrylic,"30""x40""",Yes,Los Angeles,890,3,Express,Oceanic Tones,Original,Real,Kid Room,Calming,Natural Light,Screen Print,Families,2020-07-02
Ava,Landscape,Surrealism,Mixed Media,"30""x40""",No,Montreal,965,10,Free Shipping,Neutral Tones,Copy,Print,Living Room,Calming,Bright Light,Giclée,Young Professionals,2020-07-03
Leonardo,Seascape,Abstract Expressionism,Mixed Media,"20""x30""",No,Vancouver,699,10,Express,Earthy Tones,Original,Real,Bedroom,Calming,Natural Light,Giclée,Interior Designers,2020-07-04
Leonardo,Still Life,Impressionism,Charcoal,"20""x30""",No,Chicago,696,10,Standard,Earthy Tones,Copy,Real,Kid Room,Calming,Natural Light,,Corporate Clients,2020-07-05
Ava,Seascape,Modern,Oil,"30""x40""",Yes,Vancouver,956,9,Express,Cool Tones,Original,Print,Gallery,Reflective,Dim Light,Screen Print,Families,2020-07-06
Ava,Abstract,Cubism,Charcoal,"30""x40""",No,Los Angeles,774,4,Free Shipping,Neutral Tones,Original,Real,Bedroom,Joyful,Dim Light,Giclée,Families,2020-07-07
Leonardo,Wildlife,Modern,Watercolor,"16""x20""",Yes,Toronto,956,9,Free Shipping,Neutral Tones,Copy,Real,Living Room,Calming,Bright Light,Screen Print,Interior Designers,2020-07-08
Ava,Landscape,Cubism,Acrylic,"20""x30""",No,Miami,707,7,Standard,Earthy Tones,Original,Real,Bedroom,Energetic,Bright Light,Giclée,Interior Designers,2020-07-09
Frida,Abstract,Surrealism,Oil,"24""x36""",No,Toronto,794,3,Free Shipping,Oceanic Tones,Copy,Real,Living Room,Reflective,Dim Light,,Art Collectors,2020-07-10
Vincent,Seascape,Surrealism,Mixed Media,"24""x36""",Yes,Miami,707,9,Standard,Cool Tones,Original,Print,Gallery,Joyful,Bright Light,Lithograph,Corporate Clients,2020-07-11
Claude,Seascape,Abstract Expressionism,Oil,"16""x20""",Yes,Calgary,731,8,Free Shipping,Neutral Tones,Original,Real,Living Room,Relaxing,Bright Light,Lithograph,Art Collectors,2020-07-12
Liam,Abstract,Realism,Mixed Media,"30""x40""",No,Chicago,782,4,Express,Oceanic Tones,Original,Real,Gallery,Relaxing,Dim Light,Lithograph,Young Professionals,2020-07-13
Jija,Still Life,Surrealism,Watercolor,"16""x20""",Yes,Montreal,231,3,Free Shipping,Earthy Tones,Original,Print,Gallery,Joyful,Dim Light,Screen Print,Art Collectors,2020-07-14
Ava,Fantasy,Surrealism,Watercolor,"24""x36""",No,New York,272,4,Free Shipping,Warm Tones,Copy,Print,Bedroom,Energetic,Natural Light,Screen Print,Interior Designers,2020-07-15
Olivia,Wildlife,Impressionism,Oil,"24""x36""",No,Montreal,348,6,Standard,Warm Tones,Copy,Print,Office,Relaxing,Bright Light,Screen Print,Art Collectors,2020-07-16
Pablo,Still Life,Abstract Expressionism,Watercolor,"30""x40""",Yes,New York,171,7,Free Shipping,Oceanic Tones,Copy,Print,Kid Room,Reflective,Bright Light,Lithograph,Families,2020-07-17
Liam,Wildlife,Realism,Mixed Media,"18""x24""",No,Toronto,404,7,Free Shipping,Oceanic Tones,Original,Real,Kid Room,Reflective,Dim Light,Fine Art Print,Interior Designers,2020-07-18
Emma,Landscape,Realism,Oil,"18""x24""",No,Los Angeles,918,6,Express,Oceanic Tones,Original,Real,Bedroom,Calming,Dim Light,,Corporate Clients,2020-07-19
Olivia,Abstract,Surrealism,Oil,"18""x24""",Yes,Montreal,212,9,Standard,Warm Tones,Copy,Print,Office,Calming,Natural Light,,Young Professionals,2020-07-20
Ava,Seascape,Surrealism,Acrylic,"24""x36""",No,Miami,149,3,Free Shipping,Cool Tones,Copy,Real,Bedroom,Energetic,Bright Light,Giclée,Young Professionals,2020-07-21
Olivia,Wildlife,Impressionism,Watercolor,"18""x24""",No,Los Angeles,794,8,Free Shipping,Warm Tones,Copy,Print,Gallery,Calming,Dim Light,Giclée,Art Collectors,2020-07-22
Liam,Fantasy,Abstract Expressionism,Mixed Media,"30""x40""",No,Toronto,848,3,Express,Oceanic Tones,Original,Real,Bedroom,Calming,Dim Light,,Families,2020-07-23
Pablo,Still Life,Impressionism,Mixed Media,"20""x30""",No,Montreal,352,8,Free Shipping,Oceanic Tones,Original,Real,Living Room,Energetic,Dim Light,,Art Collectors,2020-07-24
Vincent,Abstract,Realism,Acrylic,"18""x24""",No,Vancouver,245,7,Express,Warm Tones,Copy,Real,Office,Calming,Natural Light,Giclée,Interior Designers,2020-07-25
Ava,Seascape,Abstract Expressionism,Watercolor,"18""x24""",Yes,Chicago,840,5,Free Shipping,Earthy Tones,Original,Real,Bedroom,Reflective,Bright Light,,Art Collectors,2020-07-26
Claude,Landscape,Modern,Watercolor,"24""x36""",Yes,Montreal,909,3,Express,Warm Tones,Copy,Real,Living Room,Relaxing,Bright Light,,Young Professionals,2020-07-27
Olivia,Wildlife,Surrealism,Acrylic,"16""x20""",Yes,Miami,477,4,Standard,Cool Tones,Original,Real,Bedroom,Relaxing,Bright Light,Giclée,Art Collectors,2020-07-28
Ava,Abstract,Cubism,Oil,"24""x36""",No,Chicago,956,4,Free Shipping,Earthy Tones,Original,Print,Gallery,Reflective,Bright Light,,Corporate Clients,2020-07-29
Vincent,Still Life,Realism,Acrylic,"18""x24""",Yes,Los Angeles,913,7,Free Shipping,Oceanic Tones,Copy,Real,Bedroom,Calming,Dim Light,,Young Professionals,2020-07-30
Olivia,Landscape,Impressionism,Watercolor,"18""x24""",Yes,New York,581,3,Standard,Cool Tones,Original,Print,Living Room,Joyful,Dim Light,Screen Print,Families,2020-07-31
Vincent,Fantasy,Abstract Expressionism,Oil,"18""x24""",No,Miami,825,3,Express,Cool Tones,Original,Print,Living Room,Relaxing,Natural Light,,Interior Designers,2020-08-01
Leonardo,Still Life,Realism,Watercolor,"16""x20""",Yes,Montreal,657,8,Standard,Warm Tones,Copy,Print,Kid Room,Relaxing,Natural Light,Lithograph,Art Collectors,2020-08-02
Vincent,Still Life,Modern,Mixed Media,"24""x36""",Yes,Calgary,853,4,Free Shipping,Neutral Tones,Copy,Real,Kid Room,Joyful,Natural Light,Screen Print,Families,2020-08-03
Frida,Fantasy,Cubism,Oil,"30""x40""",Yes,Chicago,857,10,Express,Neutral Tones,Copy,Real,Living Room,Relaxing,Dim Light,Lithograph,Art Collectors,2020-08-04
Jija,Abstract,Abstract Expressionism,Watercolor,"16""x20""",No,Montreal,857,4,Free Shipping,Warm Tones,Copy,Real,Living Room,Reflective,Dim Light,,Art Collectors,2020-08-05
Jija,Fantasy,Realism,Watercolor,"24""x36""",Yes,Montreal,683,3,Free Shipping,Earthy Tones,Original,Real,Living Room,Reflective,Dim Light,,Corporate Clients,2020-08-06
Jija,Abstract,Cubism,Watercolor,"30""x40""",Yes,Montreal,938,3,Free Shipping,Oceanic Tones,Original,Print,Kid Room,Calming,Bright Light,Lithograph,Young Professionals,2020-08-07
Ava,Wildlife,Impressionism,Oil,"24""x36""",No,Toronto,933,6,Express,Neutral Tones,Original,Print,Gallery,Calming,Bright Light,Giclée,Young Professionals,2020-08-08
Liam,Seascape,Realism,Watercolor,"24""x36""",No,New York,746,6,Free Shipping,Earthy Tones,Copy,Print,Office,Reflective,Dim Light,Giclée,Young Professionals,2020-08-09
Noah,Portrait,Abstract Expressionism,Oil,"24""x36""",Yes,Los Angeles,943,9,Express,Earthy Tones,Copy,Print,Office,Calming,Natural Light,Screen Print,Corporate Clients,2020-08-10
Jija,Still Life,Realism,Watercolor,"16""x20""",No,Montreal,657,10,Standard,Neutral Tones,Copy,Print,Gallery,Reflective,Natural Light,Giclée,Young Professionals,2020-08-11
Liam,Seascape,Realism,Oil,"24""x36""",Yes,Montreal,975,3,Express,Cool Tones,Original,Print,Living Room,Calming,Natural Light,Giclée,Art Collectors,2020-08-12
Pablo,Still Life,Abstract Expressionism,Acrylic,"24""x36""",Yes,Calgary,516,5,Standard,Neutral Tones,Original,Real,Living Room,Energetic,Natural Light,Giclée,Young Professionals,2020-08-13
Pablo,Wildlife,Cubism,Oil,"16""x20""",Yes,Miami,127,8,Express,Earthy Tones,Copy,Real,Kid Room,Calming,Natural Light,Fine Art Print,Interior Designers,2020-08-14
Pablo,Abstract,Modern,Mixed Media,"16""x20""",Yes,Chicago,640,7,Express,Neutral Tones,Original,Real,Office,Joyful,Bright Light,Screen Print,Young Professionals,2020-08-15
Olivia,Abstract,Impressionism,Watercolor,"20""x30""",Yes,Montreal,404,7,Free Shipping,Oceanic Tones,Original,Print,Living Room,Relaxing,Dim Light,Screen Print,Art Collectors,2020-08-16
Jija,Seascape,Cubism,Watercolor,"20""x30""",No,Montreal,384,9,Free Shipping,Earthy Tones,Original,Real,Office,Relaxing,Natural Light,,Families,2020-08-17
Noah,Portrait,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Montreal,891,5,Standard,Earthy Tones,Copy,Print,Living Room,Energetic,Bright Light,Lithograph,Interior Designers,2020-08-18
Claude,Fantasy,Abstract Expressionism,Oil,"16""x20""",No,Montreal,715,4,Express,Warm Tones,Copy,Print,Kid Room,Joyful,Dim Light,Screen Print,Corporate Clients,2020-08-19
Emma,Still Life,Modern,Watercolor,"18""x24""",No,Los Angeles,368,3,Express,Oceanic Tones,Original,Real,Office,Calming,Bright Light,Giclée,Young Professionals,2020-08-20
Emma,Fantasy,Impressionism,Charcoal,"20""x30""",No,Miami,649,6,Express,Earthy Tones,Copy,Print,Gallery,Reflective,Dim Light,Screen Print,Interior Designers,2020-08-21
Pablo,Fantasy,Cubism,Oil,"16""x20""",Yes,Los Angeles,924,3,Standard,Oceanic Tones,Copy,Print,Living Room,Reflective,Natural Light,,Interior Designers,2020-08-22
Noah,Fantasy,Realism,Mixed Media,"24""x36""",No,Toronto,197,3,Free Shipping,Cool Tones,Original,Real,Gallery,Energetic,Natural Light,,Interior Designers,2020-08-23
Leonardo,Fantasy,Realism,Watercolor,"30""x40""",No,Los Angeles,965,10,Free Shipping,Warm Tones,Copy,Real,Living Room,Relaxing,Dim Light,Screen Print,Corporate Clients,2020-08-24
Frida,Seascape,Surrealism,Oil,"30""x40""",No,Calgary,179,6,Free Shipping,Oceanic Tones,Original,Real,Gallery,Energetic,Bright Light,Screen Print,Corporate Clients,2020-08-25
Liam,Landscape,Realism,Mixed Media,"18""x24""",Yes,Chicago,396,10,Express,Neutral Tones,Copy,Print,Bedroom,Relaxing,Natural Light,Giclée,Young Professionals,2020-08-26
Claude,Still Life,Abstract Expressionism,Watercolor,"16""x20""",No,Montreal,891,8,Standard,Earthy Tones,Original,Print,Office,Energetic,Natural Light,Screen Print,Young Professionals,2020-08-27
Noah,Landscape,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Chicago,157,8,Express,Earthy Tones,Copy,Print,Living Room,Reflective,Natural Light,Lithograph,Families,2020-08-28
Ava,Landscape,Surrealism,Mixed Media,"20""x30""",No,Vancouver,528,7,Free Shipping,Earthy Tones,Original,Print,Living Room,Joyful,Bright Light,Screen Print,Interior Designers,2020-08-29
Noah,Fantasy,Modern,Acrylic,"16""x20""",No,New York,918,5,Standard,Neutral Tones,Original,Print,Gallery,Energetic,Bright Light,Giclée,Young Professionals,2020-08-30
Pablo,Landscape,Impressionism,Acrylic,"18""x24""",No,Chicago,459,7,Express,Earthy Tones,Copy,Print,Gallery,Joyful,Dim Light,Screen Print,Interior Designers,2020-08-31
Frida,Abstract,Impressionism,Charcoal,"30""x40""",No,Toronto,508,10,Free Shipping,Neutral Tones,Original,Print,Gallery,Energetic,Natural Light,Giclée,Art Collectors,2020-09-01
Liam,Abstract,Abstract Expressionism,Mixed Media,"18""x24""",Yes,Los Angeles,234,10,Free Shipping,Cool Tones,Copy,Real,Kid Room,Reflective,Bright Light,Fine Art Print,Art Collectors,2020-09-02
Jija,Landscape,Abstract Expressionism,Watercolor,"18""x24""",No,Montreal,868,4,Free Shipping,Oceanic Tones,Copy,Print,Bedroom,Calming,Natural Light,Giclée,Art Collectors,2020-09-03
Jija,Seascape,Abstract Expressionism,Watercolor,"20""x30""",No,Montreal,161,4,Free Shipping,Earthy Tones,Copy,Print,Living Room,Relaxing,Natural Light,Giclée,Young Professionals,2020-09-04
Frida,Landscape,Realism,Charcoal,"30""x40""",No,Calgary,348,10,Free Shipping,Warm Tones,Copy,Print,Gallery,Reflective,Dim Light,Giclée,Young Professionals,2020-09-05
Vincent,Portrait,Realism,Charcoal,"30""x40""",No,Los Angeles,149,9,Standard,Cool Tones,Copy,Real,Office,Energetic,Natural Light,,Families,2020-09-06
Noah,Still Life,Realism,Charcoal,"16""x20""",No,Toronto,868,3,Standard,Neutral Tones,Original,Print,Bedroom,Energetic,Dim Light,Lithograph,Young Professionals,2020-09-07
Frida,Seascape,Cubism,Charcoal,"30""x40""",Yes,Calgary,938,5,Free Shipping,Earthy Tones,Original,Print,Kid Room,Joyful,Bright Light,Lithograph,Art Collectors,2020-09-08
Pablo,Fantasy,Surrealism,Mixed Media,"18""x24""",No,Chicago,965,6,Free Shipping,Neutral Tones,Original,Print,Office,Reflective,Bright Light,,Corporate Clients,2020-09-09
Vincent,Landscape,Modern,Acrylic,"24""x36""",Yes,New York,339,3,Standard,Neutral Tones,Original,Print,Bedroom,Reflective,Bright Light,Giclée,Families,2020-09-10
Jija,Fantasy,Impressionism,Watercolor,"18""x24""",Yes,Montreal,581,3,Free Shipping,Neutral Tones,Original,Print,Gallery,Reflective,Dim Light,Giclée,Young Professionals,2020-09-11
Vincent,Abstract,Realism,Oil,"30""x40""",No,New York,924,8,Free Shipping,Earthy Tones,Copy,Real,Gallery,Energetic,Dim Light,Screen Print,Corporate Clients,2020-09-12
Emma,Seascape,Abstract Expressionism,Oil,"20""x30""",Yes,Miami,212,4,Express,Neutral Tones,Original,Print,Gallery,Reflective,Natural Light,Screen Print,Families,2020-09-13
Noah,Fantasy,Impressionism,Watercolor,"18""x24""",No,Montreal,265,9,Standard,Warm Tones,Copy,Print,Office,Calming,Natural Light,Lithograph,Art Collectors,2020-09-14
Vincent,Landscape,Surrealism,Watercolor,"16""x20""",Yes,Vancouver,774,3,Free Shipping,Neutral Tones,Original,Real,Kid Room,Energetic,Bright Light,,Young Professionals,2020-09-15
Ava,Still Life,Abstract Expressionism,Watercolor,"30""x40""",No,New York,197,7,Free Shipping,Cool Tones,Original,Real,Kid Room,Relaxing,Dim Light,,Families,2020-09-16
Claude,Wildlife,Abstract Expressionism,Oil,"20""x30""",No,Calgary,975,8,Express,Cool Tones,Original,Print,Gallery,Joyful,Dim Light,Screen Print,Art Collectors,2020-09-17
Jija,Abstract,Modern,Watercolor,"20""x30""",Yes,Montreal,222,10,Standard,Neutral Tones,Original,Print,Bedroom,Calming,Dim Light,Lithograph,Young Professionals,2020-09-18
Olivia,Still Life,Cubism,Mixed Media,"20""x30""",Yes,Los Angeles,299,5,Express,Oceanic Tones,Original,Real,Living Room,Joyful,Dim Light,Screen Print,Young Professionals,2020-09-19
Pablo,Wildlife,Surrealism,Charcoal,"24""x36""",No,Miami,161,4,Standard,Oceanic Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Screen Print,Young Professionals,2020-09-20
Pablo,Abstract,Abstract Expressionism,Watercolor,"30""x40""",No,Los Angeles,879,5,Standard,Earthy Tones,Copy,Print,Office,Calming,Bright Light,,Young Professionals,2020-09-21
Ava,Still Life,Modern,Acrylic,"20""x30""",Yes,Miami,727,4,Standard,Oceanic Tones,Copy,Print,Office,Calming,Natural Light,Screen Print,Corporate Clients,2020-09-22
